,Unnamed: 0,text,date,user,location,Clean_Tweet
0,0,NEW Dark Angels &amp; Pretty Freaks #Podcast #352 “She Is Creepy” #Married #Chatting about #Life #Unedited #BoosterShot… https://t.co/OZcfTwShQr,2021-12-05 22:26:40,DAPFpodcast,"Napa, California",NEW Dark & ; Pretty  “ She Is Creepy ” Married Chatting about Life Unedited …
1,1,"@nancy_stanners hi CAROL, yea took a while to get this appointment. you know how it is with AUTOMATION (sending peo… https://t.co/EUwfPyHXtT",2021-12-05 22:22:44,ActivistBowen2,Hong Kong,"hi CAROL , yea took a while to get this appointment . you know how it is with ( sending …"
2,2,Is it a bad sign if your husband starts dancing to Christmas music in CVS after his #BoosterShot? 🤣,2021-12-05 22:02:45,Emmie12750,Massachusetts,Is it a bad sign if your husband dancing to music in after his ? 🤣
3,3,RT @DrEricDing: Norwegian 🇳🇴 Christmas #Omicron party…. That Norwegian work outbreak is now up to ~100 out of 120 attendees testing #COVID1…,2021-12-05 22:02:12,PrinPeta,Pretty island off Australia,: 🇳🇴 Omicron party …. That work outbreak is now up to ~  out of  testing COVID …
4,4,"RT @JPfaff1028: Even #BigPharma is admitting these Jabs are useless against the new #OmicronVarient, yet the only is solution is to mandate…",2021-12-05 21:59:16,RosemarieMcNern,,": Even is these are useless against the new , yet the only is solution is to mandate …"
5,5,Get your Moderna booster on Thursday evening at the Hopewell Valley Senior Center in Pennington. Registration is re… https://t.co/rXUDaoSFNJ,2021-12-05 21:55:00,TwpofHopewellNJ,"Hopewell Township, NJ",Get your booster on evening at the Valley Senior Center in . Registration is re …
6,6,RT @DrEricDing: Norwegian 🇳🇴 Christmas #Omicron party…. That Norwegian work outbreak is now up to ~100 out of 120 attendees testing #COVID1…,2021-12-05 21:51:44,myknittingwool,,: 🇳🇴 Omicron party …. That work outbreak is now up to ~  out of  testing COVID …
7,7,"I just got my #BoosterShot !!
Keep it up @GOP @GQP.😏
#bluewave2022 🌊🌊🌊🌊 https://t.co/SXXG7gvOSP",2021-12-05 21:32:48,liberaltrucker,"Portland,OR/Newtown/Parkland",I just got my !! Keep it up .😏 bluewave 🌊🌊🌊🌊
8,8,"Got the #moderna #COVID19 #BoosterShot today. 

You should too.",2021-12-05 21:32:16,GreenSkrape,,Got the COVID today . You should too .
9,9,"RT @ChelseaHelms1: So far 322,862 fully vaccinated Arkansans have gotten a #COVID19 #BoosterShot. 

Have you gotten yours yet? 

Here's tod…",2021-12-05 21:26:34,shaggyrodgers44,Planet Earth,": So far  ,  fully have gotten a COVID . Have you gotten yours yet ? Here ' s tod …"
